Treat,Inoc,plant,Ceratobasidiaceae,Nectriaceae
Forest,Control,12,0,0
Forest,Control,16,0,0
Forest,Control,39,0,0
Plantation,Gm,14,0,0
Plantation,Control,17,0,0
Sterile,Control,18,0,0
Sterile,Control,26,0,0
Sterile,Control,38,0,0
Forest,Gm,1,0,0
Plantation,Control,13,0,0
