Sequence_ID	Organism
Rh-331	Atrocalyx 
Rh-334	Phialemoniopsis hongkongensis
Rh-341	Microascales 
Rh-342	Malassezia 
Rh-347	Pseudallescheria 
Rh-350	Lophiotremataceae 
Rh-366	Trichoderma yunnanense
Rh-384	Chaetomiaceae 
Rh-386	Tulasnella deliquescens
Rh-387	Ceratobasidiaceae 
Rh-391	Tulasnella 
Rh-393	Diaporthe 
Rh-10	Fungi 
Rh-100	Trichoderma 
Rh-101	Fusarium oxysporum
Rh-102	Paraphoma radicina
Rh-103	Nectriaceae 
Rh-104	Phaeosphaeriaceae 
Rh-105	Alternaria 
Rh-107	Pseudochaetosphaeronema sp
Rh-108	Nectriaceae 
Rh-109	Thelonectria viridispora
Rh-110	Phaeosphaeriaceae 
Rh-111	Ceratobasidiaceae 
Rh-112	Pseudochaetosphaeronema sp
Rh-114	Diaporthe 
Rh-115	Ascomycota 
Rh-116b	Entrophospora sp
Rh-118	Sordariomycetes 
Rh-120	Neocosmospora rubicola
Rh-121	Neocosmospora rubicola
Rh-122	Nectriaceae 
Rh-123	Nectriaceae 
Rh-124	Trichoderma 
Rh-126	Rhizoctonia fragariae
Rh-128	Ceratobasidiaceae 
Rh-135	Rhizoctonia fragariae
Rh-142	Rhizoctonia fragariae
Rh-144	Ceratobasidiaceae 
Rh-161	Sordariomycetes 
Rh-164	Pleosporales 
Rh-165	Bionectria 
Rh-170	Rhizoctonia fragariae
Rh-177	Rhizoctonia fragariae
Rh-184	Rhizoctonia fragariae
Rh-188	Fungi 
Rh-194	Ascomycota 
Rh-20	Penicillium 
Rh-226	Nectriaceae 
Rh-231	Neocosmospora perseae
Rh-234	Rhizoctonia fragariae
Rh-235	Rhizoctonia fragariae
Rh-237	Rhizoctonia fragariae
Rh-25	Trichoderma asperellum
Rh-254	Rhizoctonia fragariae
Rh-26	Paraphoma radicina
Rh-27	Ascomycota 
Rh-277	Rhizoctonia fragariae
Rh-280	Ascomycota 
Rh-284	Ceratobasidiaceae 
Rh-294	Phialemoniopsis hongkongensis
Rh-309	Rhizoctonia fragariae
Rh-310	Rhizoctonia fragariae
Rh-311	Ceratobasidiaceae 
Rh-325	Alternaria 
Rh-326	Nectriaceae 
Rh-335	Sordariomycetes 
Rh-34	Pleosporales 
Rh-35	Pleosporales 
Rh-362	Agaricomycetes 
Rh-367	Diaporthe 
Rh-368	Zopfiella lundqvistii
Rh-370	Nectriaceae 
Rh-371	Zopfiella marina
Rh-378	Nectriaceae 
Rh-381	Rhizoctonia fragariae
Rh-382	Sordariales 
Rh-392	Diaporthe 
Rh-4	Fusarium 
Rh-437	Rhizoctonia fragariae
Rh-6	Xylariaceae 
Rh-6a	Nectriaceae 
Rh-7	Fusarium lunulosporum
Rh-77	Sordariomycetes 
Rh-79	Sordariomycetes 
Rh-93	Fusarium 
