"","otu","Size","kingdom","phylum","class","order","family","genus","species","Parent.isolate","Isolate","Treat","Rep","Media"
"38","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","217","Rh217","S",31,"GYRBA"
"39","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","224","Rh224_1","S",31,"PDAm"
"40","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","226","Rh226","S",31,"PDAm"
"41","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","228","Rh228","S",31,"PDAm"
"42","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","230","Rh230","S",31,"PDAm"
"43","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","231","Rh231","S",31,"PDAm"
"44","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","239","Rh239","F",28,"PVARP"
"45","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","292","Rh292","F",18,"PDAm"
"46","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","304","Rh304_1","S",21,"PDAm"
"47","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","324","Rh324_1","S",36,"PDAm"
"48","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","326","Rh326","P",33,"MGA"
"49","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","378","Rh378","S",31,"PDA"
"50","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","402","Rh402","S",24,"GYRBA"
"51","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","428","Rh428","F",18,""
"52","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","435","Rh435","P",37,""
"53","Otu01",47,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora_sp","436","Rh436","P",37,""
"54","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","75","Rh75","P",6,"PDA"
"55","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","85","Rh85","P",6,"PDAm"
"56","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","111","Rh111","P",7,"PVARP"
"57","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","126","Rh126","S",15,"PDA"
"58","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","127","Rh127","S",15,"PVARP"
"59","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","128","Rh128","S",15,"PVARP"
"60","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","135","Rh135","S",15,"PDAm"
"61","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","142","Rh142","S",21,"PDA"
"62","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","144","Rh144","P",16,"PDA"
"63","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","170","Rh170","S",27,"PVARP"
"64","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","172","Rh172","S",27,"PDA"
"65","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","173","Rh173","S",27,"PDA"
"66","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","177","Rh177","S",27,"PDAm"
"67","Otu02",42,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Rhizoctonia","Rhizoctonia_fragariae","184","Rh184","S",27,"MGA"
